"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"CAON","2014-04-15","2013-04-15","2012-04-13","2011-03-31","2010-04-15","2009-03-31","2008-03-31","2000-01-31","1999-02-16","1998-02-17","1997-02-14",NA,NA,NA,NA
"CAST","2011-03-16","2010-03-29","2009-03-16","2013-09-30","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CBAK","2020-05-14","2019-04-16","2018-04-17","2017-01-13","2016-01-13","2015-01-13","2014-01-14","2012-12-31","2011-12-14","2010-12-14","2009-12-14","2008-12-12","2007-12-19","2006-12-08",NA
"CBNI","2013-04-15","2012-03-30","2011-03-31","2010-03-31","2009-06-26","2008-07-14","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CBP","2012-01-30","2011-01-24","2010-01-29","2009-09-09","2008-05-29","2007-02-13","2005-09-15","2004-08-16","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CBPO","2017-02-23","2016-02-25","2015-03-04","2014-03-12","2013-03-13","2012-03-12","2011-03-31","2010-03-23","2009-03-31","2008-03-31",NA,NA,NA,NA,NA
"CBTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCCHF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCCR","2020-05-29","2019-04-05","2018-04-16","2017-04-06","2016-04-14","2015-04-15","2014-03-31","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CCGY","2011-03-30","2010-03-31","2009-03-27","2013-09-30","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CCKH","2013-08-23","2011-11-18","2010-12-06","2009-06-02","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CCLTF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CDCE","2011-04-15","2010-02-11","2014-09-29","2013-09-30","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
